v_supply	V(v_batteries)	V(vout_batt)	V(n001)	V(n002)	I(C1)	I(C2)	I(C_adc)	I(R1)	I(R2)	I(R_adc)	I(V1)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
5.119999999999998e+00	5.120000e+00	2.780899e-01	3.615169e+00	2.780899e-01	-5.120000e-17	5.120000e-19	2.780899e-20	-2.780899e-05	-2.780899e-05	-2.775558e-20	-1.710821e-04	5.996913e-12	-3.966028e-08	-2.776933e-05	1.710821e-04	-1.788370e-04
5.219999999999998e+00	5.220000e+00	2.857816e-01	3.715161e+00	2.857816e-01	-5.220000e-17	5.220000e-19	2.857816e-20	-2.857816e-05	-2.857816e-05	-2.831069e-20	-1.743837e-04	6.096934e-12	-3.965019e-08	-2.853851e-05	1.743837e-04	-1.821337e-04
5.319999999999998e+00	5.320000e+00	2.934733e-01	3.815153e+00	2.934733e-01	-5.320000e-17	5.320000e-19	2.934733e-20	-2.934733e-05	-2.934733e-05	-2.942091e-20	-1.776852e-04	6.196955e-12	-3.964009e-08	-2.930769e-05	1.776852e-04	-1.854305e-04
5.419999999999997e+00	5.420000e+00	3.011650e-01	3.915146e+00	3.011650e-01	-5.420000e-17	5.420000e-19	3.011651e-20	-3.011651e-05	-3.011651e-05	-2.997602e-20	-1.809868e-04	6.296976e-12	-3.963000e-08	-3.007687e-05	1.809868e-04	-1.887272e-04
5.519999999999997e+00	5.520000e+00	3.088568e-01	4.015138e+00	3.088568e-01	-5.520000e-17	5.520000e-19	3.088568e-20	-3.088568e-05	-3.088568e-05	-3.108625e-20	-1.842884e-04	6.396997e-12	-3.961990e-08	-3.084605e-05	1.842884e-04	-1.920239e-04
5.619999999999997e+00	5.620000e+00	3.165485e-01	4.115130e+00	3.165485e-01	-5.620000e-17	5.620000e-19	3.165485e-20	-3.165485e-05	-3.165485e-05	-3.164135e-20	-1.875899e-04	6.497018e-12	-3.960980e-08	-3.161524e-05	1.875899e-04	-1.953207e-04
5.719999999999996e+00	5.720000e+00	3.242402e-01	4.215123e+00	3.242402e-01	-5.720000e-17	5.720000e-19	3.242402e-20	-3.242402e-05	-3.242402e-05	-3.219647e-20	-1.908915e-04	6.597039e-12	-3.959970e-08	-3.238442e-05	1.908915e-04	-1.986174e-04
5.819999999999996e+00	5.820000e+00	3.319319e-01	4.315115e+00	3.319319e-01	-5.820000e-17	5.820000e-19	3.319319e-20	-3.319319e-05	-3.319319e-05	-3.330669e-20	-1.941931e-04	6.697060e-12	-3.958961e-08	-3.315360e-05	1.941931e-04	-2.019142e-04
5.919999999999995e+00	5.920000e+00	3.396237e-01	4.415107e+00	3.396237e-01	-5.920000e-17	5.920000e-19	3.396237e-20	-3.396237e-05	-3.396237e-05	-3.386180e-20	-1.974946e-04	6.797082e-12	-3.957951e-08	-3.392278e-05	1.974946e-04	-2.052109e-04
6.019999999999995e+00	6.020000e+00	3.473154e-01	4.515100e+00	3.473154e-01	-6.020000e-17	6.020000e-19	3.473154e-20	-3.473154e-05	-3.473154e-05	-3.497203e-20	-2.007962e-04	6.897103e-12	-3.956942e-08	-3.469196e-05	2.007962e-04	-2.085077e-04
6.119999999999995e+00	6.120000e+00	3.550071e-01	4.615092e+00	3.550071e-01	-6.120000e-17	6.120000e-19	3.550071e-20	-3.550071e-05	-3.550071e-05	-3.552714e-20	-2.040977e-04	6.997124e-12	-3.955932e-08	-3.546114e-05	2.040977e-04	-2.118044e-04
