v_supply	V(v_batteries)	V(vout_batt)	V(n001)	V(n002)	I(C1)	I(C2)	I(C_adc)	I(R1)	I(R2)	I(R_adc)	I(V1)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
2.000000000000000e+00	2.000000e+00	1.531025e-01	1.990333e+00	1.531025e-01	-2.000000e-17	2.000000e-19	1.531026e-20	-1.531025e-05	-1.531025e-05	-1.526557e-20	-4.598697e-04	5.016572e-12	4.970895e-12	-1.531026e-05	4.598697e-04	-4.445443e-04
2.100000000000001e+00	2.100000e+00	1.608119e-01	2.090554e+00	1.608119e-01	-2.100000e-17	2.100000e-19	1.608119e-20	-1.608119e-05	-1.608119e-05	-1.609823e-20	-4.618985e-04	5.216611e-12	5.171901e-12	-1.608119e-05	4.618985e-04	-4.459016e-04
2.200000000000001e+00	2.200000e+00	1.685203e-01	2.190763e+00	1.685203e-01	-2.200000e-17	2.200000e-19	1.685203e-20	-1.685203e-05	-1.685203e-05	-1.693090e-20	-4.639280e-04	5.416649e-12	5.372847e-12	-1.685203e-05	4.639280e-04	-4.471598e-04
2.300000000000001e+00	2.300000e+00	1.762277e-01	2.290961e+00	1.762277e-01	-2.300000e-17	2.300000e-19	1.762277e-20	-1.762277e-05	-1.762277e-05	-1.748601e-20	-4.659583e-04	5.616688e-12	5.573744e-12	-1.762278e-05	4.659583e-04	-4.484188e-04
2.400000000000001e+00	2.400000e+00	1.839344e-01	2.391147e+00	1.839344e-01	-2.400000e-17	2.400000e-19	1.839344e-20	-1.839344e-05	-1.839344e-05	-1.831868e-20	-4.679893e-04	5.816727e-12	5.774593e-12	-1.839345e-05	4.679893e-04	-4.496787e-04
2.500000000000001e+00	2.500000e+00	1.916403e-01	2.491324e+00	1.916403e-01	-2.500000e-17	2.500000e-19	1.916403e-20	-1.916403e-05	-1.916403e-05	-1.915135e-20	-4.700212e-04	6.016766e-12	5.975397e-12	-1.916404e-05	4.700212e-04	-4.509395e-04
2.600000000000001e+00	2.600000e+00	1.993456e-01	2.591492e+00	1.993456e-01	-2.600000e-17	2.600000e-19	1.993456e-20	-1.993456e-05	-1.993456e-05	-1.998401e-20	-4.720539e-04	6.216804e-12	6.176163e-12	-1.993456e-05	4.720539e-04	-4.522012e-04
2.700000000000001e+00	2.700000e+00	2.070501e-01	2.691652e+00	2.070501e-01	-2.700000e-17	2.700000e-19	2.070501e-20	-2.070501e-05	-2.070501e-05	-2.081668e-20	-4.740874e-04	6.416843e-12	6.376888e-12	-2.070502e-05	4.740874e-04	-4.534637e-04
2.800000000000001e+00	2.800000e+00	2.147541e-01	2.791803e+00	2.147541e-01	-2.800000e-17	2.800000e-19	2.147541e-20	-2.147541e-05	-2.147541e-05	-2.137179e-20	-4.761218e-04	6.616882e-12	6.577581e-12	-2.147542e-05	4.761218e-04	-4.547272e-04
2.900000000000001e+00	2.900000e+00	2.224575e-01	2.891948e+00	2.224575e-01	-2.900000e-17	2.900000e-19	2.224575e-20	-2.224575e-05	-2.224575e-05	-2.220446e-20	-4.781570e-04	6.816920e-12	6.778240e-12	-2.224576e-05	4.781570e-04	-4.559916e-04
3.000000000000001e+00	3.000000e+00	2.301604e-01	2.992085e+00	2.301604e-01	-3.000000e-17	3.000000e-19	2.301604e-20	-2.301604e-05	-2.301604e-05	-2.303713e-20	-4.801930e-04	7.016959e-12	6.978869e-12	-2.301605e-05	4.801930e-04	-4.572568e-04
3.100000000000001e+00	3.100000e+00	2.378628e-01	3.092216e+00	2.378628e-01	-3.100000e-17	3.100000e-19	2.378628e-20	-2.378628e-05	-2.378628e-05	-2.386979e-20	-4.822300e-04	7.216998e-12	7.179467e-12	-2.378629e-05	4.822300e-04	-4.585230e-04
3.200000000000002e+00	3.200000e+00	2.455648e-01	3.192342e+00	2.455648e-01	-3.200000e-17	3.200000e-19	2.455648e-20	-2.455648e-05	-2.455648e-05	-2.442491e-20	-4.842678e-04	7.417037e-12	7.380040e-12	-2.455648e-05	4.842678e-04	-4.597902e-04
3.300000000000002e+00	3.300000e+00	2.532663e-01	3.292462e+00	2.532663e-01	-3.300000e-17	3.300000e-19	2.532663e-20	-2.532663e-05	-2.532663e-05	-2.553513e-20	-4.863065e-04	7.617075e-12	7.580591e-12	-2.532664e-05	4.863065e-04	-4.610582e-04
3.400000000000002e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e-05	-8.527418e-05
3.500000000000002e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e-05	-8.689989e-05
