v_supply	V(v_batteries)	V(vout_reg)	V(n001)	V(n002)	V(n003)	I(C1)	I(C2)	I(C_adc1)	I(R1)	I(R2)	I(R3)	I(V1)	I(V_regulator)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
5.099999999999998e+00	1.440000e+01	1.108718e+00	5.100105e+00	1.108718e+00	5.100000e+00	1.440000e-18	-1.440000e-16	1.108719e-19	-1.108718e-04	-1.108718e-04	-1.110223e-19	-4.851308e-04	2.017224e-08	-2.017224e-08	-2.011927e-08	-1.108517e-04	4.851308e-04	-4.851659e-04
5.199999999999998e+00	1.440000e+01	1.130456e+00	5.200099e+00	1.130456e+00	5.200000e+00	1.440000e-18	-1.440000e-16	1.130456e-19	-1.130456e-04	-1.130456e-04	-1.132427e-19	-4.851308e-04	2.016048e-08	-2.016048e-08	-2.011084e-08	-1.130255e-04	4.851308e-04	-4.851609e-04
5.299999999999997e+00	1.440000e+01	1.152194e+00	5.300092e+00	1.152194e+00	5.300000e+00	1.440000e-18	-1.440000e-16	1.152194e-19	-1.152194e-04	-1.152194e-04	-1.154632e-19	-4.851308e-04	2.014872e-08	-2.014872e-08	-2.010240e-08	-1.151993e-04	4.851308e-04	-4.851559e-04
5.399999999999997e+00	1.440000e+01	1.173932e+00	5.400085e+00	1.173932e+00	5.400000e+00	1.440000e-18	-1.440000e-16	1.173931e-19	-1.173932e-04	-1.173932e-04	-1.176836e-19	-4.851308e-04	2.013695e-08	-2.013695e-08	-2.009397e-08	-1.173731e-04	4.851308e-04	-4.851509e-04
5.499999999999996e+00	1.440000e+01	1.195669e+00	5.500079e+00	1.195669e+00	5.500000e+00	1.440000e-18	-1.440000e-16	1.195669e-19	-1.195669e-04	-1.195669e-04	-1.199041e-19	-4.851308e-04	2.012519e-08	-2.012519e-08	-2.008554e-08	-1.195468e-04	4.851308e-04	-4.851459e-04
5.599999999999996e+00	1.440000e+01	1.217407e+00	5.600072e+00	1.217407e+00	5.600000e+00	1.440000e-18	-1.440000e-16	1.217407e-19	-1.217407e-04	-1.217407e-04	-1.221245e-19	-4.851308e-04	2.011343e-08	-2.011343e-08	-2.007711e-08	-1.217206e-04	4.851308e-04	-4.851409e-04
5.699999999999996e+00	1.440000e+01	1.239145e+00	5.700066e+00	1.239145e+00	5.700000e+00	1.440000e-18	-1.440000e-16	1.239145e-19	-1.239145e-04	-1.239145e-04	-1.243450e-19	-4.851308e-04	2.010166e-08	-2.010166e-08	-2.006867e-08	-1.238944e-04	4.851308e-04	-4.851359e-04
5.799999999999995e+00	1.440000e+01	1.260882e+00	5.800059e+00	1.260882e+00	5.800000e+00	1.440000e-18	-1.440000e-16	1.260882e-19	-1.260882e-04	-1.260882e-04	-1.265654e-19	-4.851308e-04	2.008990e-08	-2.008990e-08	-2.006024e-08	-1.260682e-04	4.851308e-04	-4.851309e-04
5.899999999999995e+00	1.440000e+01	1.282620e+00	5.900052e+00	1.282620e+00	5.900000e+00	1.440000e-18	-1.440000e-16	1.282620e-19	-1.282620e-04	-1.282620e-04	-1.287859e-19	-4.851308e-04	2.007814e-08	-2.007814e-08	-2.005181e-08	-1.282420e-04	4.851308e-04	-4.851259e-04
5.999999999999995e+00	1.440000e+01	1.304358e+00	6.000046e+00	1.304358e+00	6.000000e+00	1.440000e-18	-1.440000e-16	1.304358e-19	-1.304358e-04	-1.304358e-04	-1.310063e-19	-4.851308e-04	2.006637e-08	-2.006637e-08	-2.004337e-08	-1.304157e-04	4.851308e-04	-4.851209e-04
